producto_id,investigador_id,orden,rol,activo
P-GR-0219FDC3C72B,I-0000440027,,Autor listado en GrupLAC,1
P-GR-0219FDC3C72B,I-0000450260,,Autor listado en GrupLAC,1
P-GR-021A187E2577,I-0002081510,,Autor listado en GrupLAC,1
P-GR-02251D6E260B,I-0000713899,,Autor listado en GrupLAC,1
P-GR-02251D6E260B,I-0001510894,,Autor listado en GrupLAC,1
P-GR-0229A451A9DB,I-0000655376,,Autor listado en GrupLAC,1
P-GR-0229A451A9DB,I-0000778460,,Autor listado en GrupLAC,1
P-GR-022B8B1C90C1,I-0001354975,,Autor listado en GrupLAC,1
P-GR-022F457FE502,I-0000548863,,Autor listado en GrupLAC,1
P-GR-022F457FE502,I-0001425900,,Autor listado en GrupLAC,1
P-GR-022F457FE502,I-0001526698,,Autor listado en GrupLAC,1
P-GR-024CBFD9B760,I-0000021091,,Autor listado en GrupLAC,1
P-GR-024CBFD9B760,I-0001398362,,Autor listado en GrupLAC,1
P-GR-024DE68CB4B7,I-0000525898,,Autor listado en GrupLAC,1
P-GR-024DE68CB4B7,I-0000918261,,Autor listado en GrupLAC,1
P-GR-02502A7A89FA,I-0000168275,,Autor listado en GrupLAC,1
P-GR-02595DBE8074,I-0000444740,,Autor listado en GrupLAC,1
P-GR-0265D1F9C9A2,I-0002176561,,Autor listado en GrupLAC,1
P-GR-026E011F599F,I-0000247413,,Autor listado en GrupLAC,1
P-GR-027281E8690D,I-0000336777,,Autor listado en GrupLAC,1
P-GR-027281E8690D,I-0001647221,,Autor listado en GrupLAC,1
P-GR-028C29DF7D39,I-0001525826,,Autor listado en GrupLAC,1
P-GR-0290898F8435,I-0001400018,,Autor listado en GrupLAC,1
P-GR-02B466472D5C,I-0000996378,,Autor listado en GrupLAC,1
P-GR-02C5F5D9F3CE,I-0000033824,,Autor listado en GrupLAC,1
P-GR-02D483B18F40,I-0000014567,,Autor listado en GrupLAC,1
P-GR-02D483B18F40,I-0001409130,,Autor listado en GrupLAC,1
P-GR-02DFFE3533B6,I-0000400700,,Autor listado en GrupLAC,1
P-GR-02DFFE3533B6,I-0000410179,,Autor listado en GrupLAC,1
P-GR-02DFFE3533B6,I-0001372505,,Autor listado en GrupLAC,1
P-GR-02E2378C873C,I-0001645108,,Autor listado en GrupLAC,1
P-GR-02E2378C873C,I-0001911279,,Autor listado en GrupLAC,1
P-GR-02E3EAAF38D2,I-0000727601,,Autor listado en GrupLAC,1
P-GR-02F713B90DDA,I-0001347072,,Autor listado en GrupLAC,1
P-GR-030224177228,I-0001416765,,Autor listado en GrupLAC,1
P-GR-030808FAD247,I-0000961167,,Autor listado en GrupLAC,1
P-GR-030808FAD247,I-0001289438,,Autor listado en GrupLAC,1
P-GR-030808FAD247,I-0001498712,,Autor listado en GrupLAC,1
P-GR-030808FAD247,I-0001718115,,Autor listado en GrupLAC,1
P-GR-031D18A7112F,I-0001409629,,Autor listado en GrupLAC,1
P-GR-031D18A7112F,I-0001462454,,Autor listado en GrupLAC,1
P-GR-031D18A7112F,I-0001473716,,Autor listado en GrupLAC,1
P-GR-031D18A7112F,I-0001632292,,Autor listado en GrupLAC,1
P-GR-031D18A7112F,I-0001760167,,Autor listado en GrupLAC,1
P-GR-03206D98DBF0,I-0000968943,,Autor listado en GrupLAC,1
P-GR-032D5AA5BB6E,I-0000400700,,Autor listado en GrupLAC,1
P-GR-032E40E8EB49,I-0000247413,,Autor listado en GrupLAC,1
P-GR-0339244DCD8B,I-0001526698,,Autor listado en GrupLAC,1
P-GR-0340B260912C,I-0000107603,,Autor listado en GrupLAC,1
P-GR-0340B260912C,I-0000996378,,Autor listado en GrupLAC,1
P-GR-03433C3F3169,I-0000107603,,Autor listado en GrupLAC,1
P-GR-03433C3F3169,I-0000684660,,Autor listado en GrupLAC,1
P-GR-03433C3F3169,I-0000696242,,Autor listado en GrupLAC,1
