grupo_id,producto_id,origen,activo
G-00000000000900,P-GR-3139932B5D4E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-31BE24B2016F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-31EC379C8E74,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-347E73A39C69,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-34C08C6A773C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-350F70E210BF,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-351E051663B2,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3543048A05B1,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3684846ACB34,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-36A642CC1D96,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3742035570D8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-38CB8BB32652,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-38EF1822FC93,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-38F5A668E274,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-392D15F0CFD9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-395480022EB3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-39E227417FE9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3A46912CFDB6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3A5D1E511789,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3B86F368D014,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3BDAE5555EF3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3C9D5E7F1A41,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3EB7D904FCE1,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-3FA61C268363,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-401D483B3B78,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4088E274EBF4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-410DE4FE4114,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-41906F16FB00,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4197127B6763,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-42422D269376,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-42740286D07E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4380CDA02D09,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-444B11B58B26,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-447F62452F45,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-44C6C10E9E74,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4628FAF3EE43,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-477F0BBE2DCD,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-47CF68A59F35,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-47FEFB0006B3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-483D7AF4FCC7,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4998AD515724,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4A12643A0634,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4A8337B55B03,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4C12E52993B3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4C223099B6C6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4C3B0521C469,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4CE6144F3003,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4D6902DB481F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4E578B9243F4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4E7EECFC1BB0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-4F2AEDD80082,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-50302058FEF2,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-509A965610FC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5119C05E5BBA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5185B10D5731,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-51A54B3A8B9A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-51F374B304BF,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-522BE67262D5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-527816646E50,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-527EA6910F2E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5284AC452B71,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-52B92C378F34,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-53423BBAE693,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5386EE4F2FDA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-53E457D9FE1A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-546433942E48,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5490D356C67E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-55064C0DF4BA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-552B3C0A8CFE,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-55BEC5103156,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-56149BD9E59F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-565D4837400F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-569894154E10,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-56BD695ECED6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5707034B088A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-590217EC9BD5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-599B4BB7F40B,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-59FC9CBCD2EA,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5AE2492D63D3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5C43E609DFCB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5D1F5F9A9D55,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-5E38CD2C83A9,GrupLAC: producto listado en la ficha,1
