id,grupo_id,nombre,inicio,fin,objetivo,indicador,meta,actividad,activo
PL-00000000020417,G-00000000020417,Plan Estratégico,,,"'- Ser reconocidos ante Colciencias como grupo que desarrolle trabajos de investigación en el área de ciencias administrativas, contables y económicas en el trabajo mancomunado con investigadores especializados en el área nacional e internacional.
- Contribuir con la ampliación del estado del arte existente, como una contribución para futuros investigadores que estén interesados en desarrollar las líneas de investigación propuestas.
-Desarrollar investigaciones que permitan impactar de manera positiva a la sociedad y entes gubernamentales en la solución de problemas, sociales, económicos y fiscales.
-Categorizar a los miembros del Grupo Investigadores en los diferentes rangos establecidos.",,,"Plan de trabajo: El Grupo De Investigación Buterama ha contemplado dentro de sus planes a largo y corto plazo lo siguientes puntos:
-Buscar con las líneas de investigación caracterización socioeconómica de los 11 municipios del sur del cesar, una identificación de la realidad de zona sur que permita a sus alcaldes fortalecer sus municipios para lograr un mejor desarrollo en todos sus campos productivos.
-Generar un banco de datos estadísticos, de la región sur del Cesar, para que en un momento dado le sirva a la comunidad universitaria y población en general.
-Realizar publicaciones en revistas indexadas acerca de los resultados de la investigación y su impacto.
-Fortalecer los programas de Contaduría Pública, Economía y Administración de Empresas la Universidad Popular del Cesar Seccional Aguachica y utilizar esta experiencia como base de crear un diplomado para los docentes de la facultad sobre el tema.
-El Grupo De Investigación pretende fortalecer los semilleros de investigación interdisciplinariamente al interior de la Universidad a través de la publicación de los procesos de aprendizaje autónomo en otras disciplinas.
-Otras de las propuestas del grupo consiste en promover la investigación en la Universidad, con el fin de lograr el reconocimiento como Grupo de Investigación ante Colciencias.",1
PL-00000000016202,G-00000000016202,Plan Estratégico,,,"General: Realizar investigación de alto nivel que aporte a la generación de nuevo conocimiento en el área de las matemáticas educativas y a la formación de talento humano con finas competencias investigativas en sus áreas de actuación.
Específicos: 1). Desarrollar proyectos de investigación en las líneas de formación del docente de matemáticas, pensamiento variacional, formación de conceptos matemáticos e integración de las TIC a los procesos de enseñanza-aprendizaje de las matemáticas.
2). Contribuir desde las líneas los procesos de investigación formativa a través de los semilleros de investigación.
3). Apoyar los procesos de reformas curriculares del programa de Licenciatura en Matemáticas y Física.
4). Aportar a la formación avanzada de profesores en el área de las matemáticas educativas.
5). Publicar los resultados de investigaciones en revistas científicas de alto impacto y divulgación de productos en eventos académicos.
6). Realizar actividades de capacitación docente en el área de las matemáticas educativas que propendan por mejoramiento continuo la practica pedagógica de los docentes de la región.",,,"Plan de trabajo: El grupo DELTA se propone desarrollar para el año 2030 las siguientes acciones (acciones que se procura mejorar indicadores en los años sucesivos):
Creación del Seminari de Divulgación Matemática Orlando Enrique Castañez
Realización de proyectos de investigación:2
Publicación de artículos en revista especializada: 1
Asesoría de trabajo de grado:2
Participación en eventos académicos nacionales:2
Participación en eventos académicos internacionales:2
Reuniones de grupo semanalmente:1",1
PL-00000000023779,G-00000000023779,Plan Estratégico,,,"Objetivos: Objetivo General: Desarrollar investigaciones en el ámbito JURÍDICO, SOCIO JURÍDICO y en la ADMINISTRACIÓN PÚBLICA estudiando los fenómenos y brindando alternativas de solución de las necesidades sociales, económicas, políticas y culturales, para moldearlas como instrumentos que permitan asumir las realidades nacionales y afrontar el panorama internacional. OBJETIVOS ESPECÍFICOS Generar propuestas dentro de la comunidad académica y científica, con el fin de consolidar los avances en los temas bajo estudio. y con ello divulgar los resultados de nuestras metas en el orden nacional e internacional Identificar las necesidades y oportunidades de investigación del sector productivo de la región y desarrollar proyectos de investigación que conduzcan a la solución de las necesidades detectadas. Fortalecer cada una de las líneas de investigación a partir de desarrollo de múltiples investigaciones. Generar productos de investigación, desarrollo Tecnológico o de Innovación en sus diferentes tipologías. Categorización del grupo de investigación ante el Ministerio de Ciencia Tecnología e Innovación. Presentar documento maestro ante el Ministerio de Educación de posgrados correspondientes a las ciencias Sociales. Fortalecer los semilleros de investigación que pertenecen al grupo de investigación. Participar en convocatorias internas y externas que permitan acceder a recursos financieros para el desarrolla de las investigaciones. Establecer alianzas estratégicas que permitan acceder a recursos financieros para el desarrolla de las investigaciones.",,,"Plan de trabajo: Plan de trabajo:
Consolidar las líneas de investigación.
Fortalecer procesos de investigación formativa.
Formular y presentar nuevos proyectos y ejecutar los que se encuentran aprobados y con financiación; integrar nuevos investigadores al trabajo y proyectos de las líneas; publicar en revistas indexadas nacionales e internacionales y publicar libros con resultados de investigación.
Participar en la Red de Grupos y Centros de Investigación Jurídica a través de la Secretaría Técnica, Investigación formativa, Jóvenes Investigadores y Semilleros de Investigación, Revistas y en los documentos maestros de las Maestrías y Doctorados.
Categorización de Investigadores Formación del Recurso Humano (Asesoría de trabajo de grado Pregrado-Maestría -Doctorado Categorización y proyección social Grupo de Investigación
Participación en eventos científicos- académicos (movilidad internacional, proyección social y apropiación Social) Articulación con el Proceso de Extensión, proyección social e Internacionalización
Formulación de proyectos con universidades y/o centro de investigación internacional.
Formulación de proyectos apoyados por la Cooperación Internacional, en áreas prioritarias por la región y el país Fomento del emprendimiento en la región desde la investigación Movilidad internacional.",1
PL-00000000024331,G-00000000024331,Plan Estratégico,,,"Objetivo General:
- Contribuir al desarrollo de la región a través de la lectura de los principales fenómenos y realidades que la caracterizan.
Objetivos Específicos:
* Elaborar un estado del arte sobre las principales temáticas identificadas, teniendo en cuenta los proyectos a desarrollar.
* Desarrollar e implementar proyectos de investigación sobre las líneas de trabajo presentadas anteriormente.
* Establecer criterios para el fomento y la divulgación de los resultados de investigación.
* Contribuir al proceso de rescate de la memoria histórica de la región y el país.",,,"Plan de trabajo: Con miras a garantizar el desarrollo de las actividades del grupo y establecer criterios de cumplimiento de los objetivos, se organiza el presente plan de trabajo con un periodicidad semestral proponiendo reuniones mensuales y/o bimestrales.
Los principales ejes temáticos de dichas reuniones estarán orientados por:
* Organización del Plan estratégico y pautas para la producción científica
* Fomento y apoyo a las estrategias de Semilleros de Investigación
* Construcción de los fundamentos teóricos y metodológicos de los proyectos del grupo y las líneas de investigación trabajadas,
* Establecer las pautas para la participación del grupo y sus semilleros en los diversos eventos de divulgación científica a nivel local nacional e internacional.
* Gestionar la participación del grupo en redes de apoyo
* Fortalecer los proyectos de investigación del grupo
* Estrategias para la formación de investigadores.
* Jornadas de actualización de los CvLac y GrupLAC.",1
PL-00000000018897,G-00000000018897,Plan Estratégico,,,"Sensibilizar sobre la importancia de la investigación para el crecimiento y desarrollo tecnológico-científico en el área de la Salud.
Propiciar espacios de discusión y debate sobre diferentes temas relacionados con la realidad y los recursos que nos ofrece la Institución sobre la academia.
Brindar las herramientas básicas que permitan desarrollar el trabajo en investigación entre los estudiantes.
Motivar la vinculación de los estudiantes a los diferentes grupos de investigación del Programa de Enfermería de la Universidad Popular del Cesar.
Fomentar a profesionales de otras disciplinas a integrarse a los grupos de
Investigación del Programa de Enfermería.
Facilitar el mejoramiento pedagógico en los diferentes espacios de aprendizaje.",,,"Plan de trabajo: Productos de Ciencia, Tecnología e Innovación por año, este se estableció mediante sesiones semanales con asignación de tareas que se van evacuando semanalmente para los miembros del grupo.",1
PL-00000000002497,G-00000000002497,Plan Estratégico,,,"1. Desarrollar estudios y análisis literarios a la luz de las herramientas teóricas e investigativas actuales y coherentes para la valoración crítica de la producción literaria y del conocimiento sociocultural del Cesar, del Caribe colombiano, de Hispanoamérica y del resto del mundo.
2. Establecer las poéticas conscientes o inconscientes que alientan las obras de géneros como el lírico, narrativo producidos en el Caribe hispánico y no hispánico.
3. Comprender la relación entre la literatura del Caribe hispánico y no hispánico.
4. Estudiar, desde el punto de vista histórico-crítico, el origen, desarrollo, evolución y proyecciones de la literatura caribe colombiana.
5. Aportar al estudio y comprensión de los elementos configuradores de la identidad socio-cultural de las mujeres y hombres del Caribe en general, a partir de las características literarias de sus creadores y de los distintos géneros literarios.
6. Producir artículos, memorias de eventos y ediciones críticas sobre la literatura del Caribe para establecer vasos comunicantes con otras literaturas de otras latitudes.",,,"Plan de trabajo: GRUPO DE INVESTIGACIÓN DE LITERATURA E HISTORIA CARIBE
GILEHKA
Plan de Trabajo
1. Desarrollar proyectos de investigación sobre la literatura del Cesar, del Caribe colombiano, del Gran Caribe hispánico y no hispánico desde las líneas de investigación del grupo.
2. Desarrollar proyectos de investigación sobre las poéticas de las obras líricas del Cesar a fin de crear los insumos para construir a futuro (2020) una historia de la poesía cesarense.
3. Fortalecer la investigación en los docentes y estudiantes de Literatura y áreas humanísticas en la Universidad Popular del Cesar.
4. Socializar a nivel del Cesar, del Caribe en general, del país y demás naciones de Hispanoamérica los avances y resultados de las investigaciones realizadas a través de publicaciones y de la participación en eventos académicos con ponencias.
5. Seguir organizando los Seminarios de Literatura en la Universidad Popular del Cesar por cada proyecto que desarrolle.
6. Establecer vínculos con otros grupos de investigación literaria a nivel regional, nacional e internacional.",1
PL-00000000017409,G-00000000017409,Plan Estratégico,,,"Objetivo General
Contribuir al desarrollo de la ciencia en los campos de las líneas de investigación a través de los proyectos de investigación y la implementación de soluciones a problemas específicos para el mejoramiento de la calidad de vida de nuestra sociedad.
Objetivos específicos
Proponer soluciones a problemas particulares en las diferentes áreas que comprenden las líneas de investigación.
Generar productos de innovación a partir de los trabajos de grado derivados de los proyectos del grupo.
Fortalecer las líneas de investigación mediante la realización de proyectos de investigación.
Formar jóvenes con espíritu investigativo a partir de los semilleros de investigación.
Participar en eventos de apropiación social y circulación del conocimiento.
Ofrecer a la comunidad académica y el sector empresarial asesoría en temas relacionados con las líneas de investigación del grupo.
Mejorar periódicamente la calidad y resultados de los productos de investigación que conlleven a una clasificación superior del grupo ante el sistema nacional de ciencia y tecnología.",,,"Plan de trabajo: El grupo de investigación dentro de sus actividades propuestas a realizar están en:
1.- Corto Plazo.
.- Fomentar:
a.- Participación de estudiantes en los semilleros de investigación
b.- Fortalecimiento de las líneas de investigación.
c.- Participación en las jornadas anuales de semilleros de investigación, jornadas internas semestrales de la feria de la electrónica y congresos nacionales e internacionales.
2.- Mediano Plazo.
.- Que los docentes en estudios de posgrado tengan su titulación.
.- Categorizar el grupo a un nivel mayor al actual en el sistema nacional de ciencia y tecnología.
3.- Largo Plazo.
.- Que los investigadores sigan aumentando su producción.
.- Que el Grupo de Investigación alcance la categoría A1.
.- Clasificar por encima de investigador junior a todos los investigadores.",1
PL-00000000018931,G-00000000018931,Plan Estratégico,,,"1. Identificar las necesidades de investigación del sector salud y de Enfermería
en la región, para el desarrollo de proyectos de investigación que conduzcan a
la solución de las necesidades detectadas.
2. Fortalecer las líneas de investigación.
3. Generar productos de investigación con impacto en la región
4. Asesorar a la comunidad académica y el sector salud, en las líneas del trabajo
del grupo.
5. Fomentar la cultura investigativa en el programa de Enfermería
6. Generar propuestas curriculares al Programa de Enfermería
7. Buscar apoyo por parte de la institución, para la consecución de espacios y
tiempo para investigar.
8. Documentar debidamente cada plan y resultado de investigación.
9. Divulgar a la comunidad académica los planes y resultados de investigación
10.Consolidar la conformación de Semillero de Investigación de acuerdo con las
líneas de investigación
11.Desarrollar Proyectos de Investigación sobre temáticas relacionadas con la
humanización, ética y bioética; gestión de Enfermería; políticas de SGSSS
y la participación de Enfermería",,,"Plan de trabajo: Las actividades del plan de trabajo se realizarán durante el período 2019 a 2025.
Consolidar las líneas de investigación que requieren apoyo y fortalecimiento:
Fortalecer procesos de investigación formativa (Semillero de investigación)
Formular y presentar nuevos proyectos y ejecutar los que se encuentran aprobados y con financiación
Integrar nuevos investigadores al trabajo y proyectos de las líneas; publicar en revistas indexadas nacionales e internacionales y publicar libros con resultados de investigación.
Continuar impulsando la propuesta, desarrollo y ejecución de proyectos de investigación en alianza con grupos reconocidos y acreditados en la Red de Colciencias.
Generación de nuevos proyectos de investigación en: Humanización, Ética y Bioética; Gestión de Enfermería como Proceso Direccionado a la Calidad del Cuidado; Ética y Bioética en los Procesos Gerenciales en las Organizaciones; Gestión Gerencial en Organizaciones y Servicios de Salud; Procesos Estratégicos Garantes de la Calidad en Organizaciones y Servicios de Salud; Políticas del SGSSS y su influencia en la Gestión de Enfermería hacia la Calidad del Cuidado.",1
PL-00000000022105,G-00000000022105,Plan Estratégico,,,,,,Plan de trabajo:,1
PL-00000000003161,G-00000000003161,Plan Estratégico,,,"1. aumentar la formación de recurso humano de alto nivel
2. desarrollar estrategias para aumentar el número de proyectos
3. aumentar la presencia de estudiantes de pregrado y posgrado
4. desarrollar la especialización en ingeneiria de procesos
5. elevar el nivel de participación y alianzas con el sector productivo
6. propiciar el intercambio de estudiantes en pasantias y proyectos de inevstigación",,,"Plan de trabajo: 1. formación de recurso humano mediante semilleros de investigación, jovenes investigadores, especializaciones, maestrias y docotorados
2. desarrollo de proyectos para presentar a convocatorias internas de la universidad y convocatorias externas en sena, colciencias y entidades privadas
3.formación no formal a miembros del grupo
4. participación en encuentros de semilleros, congresos nacionales e internacionales
5. publicaciones en revista de la facultad de ingenieria de la upc y revistas de indole nacional e internacional
6. establecer alianzas con otros grupos a nivel nacional e internacional
7. establecer alianzas con el sector productivo local y nacional, publicas y privadas",1
